Brewery,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
Santa Fe Brewing Company,8,13,0,15,1,2,7,18,8,0,3,15,3,5,108,32,11,5,39,16,4,8,4,11,0,1,0,0,126,8,8,25,12,0,1,0,4,24,3,2,12,2,3,8,14,3,17,7,4,2,5
Karbach Brewing Co.,3,0,0,1,0,1,3,0,4,0,0,3,0,0,5,5,1,0,0,2,0,0,0,3,0,1,0,0,68,4,2,12,6,0,0,0,0,9,3,0,0,1,0,0,4,0,0,1,2,0,0
Snake River Brewing Company &amp; Brewpub,7,13,3,5,4,2,12,1,5,0,4,27,1,2,26,18,2,5,11,23,2,2,5,2,0,2,0,2,12,1,3,19,11,0,1,0,0,21,2,6,1,14,1,7,18,4,5,28,4,3,0
Short's Brewing Company,31,58,0,67,0,18,37,0,39,0,0,139,22,1,139,219,40,75,9,210,0,50,17,16,0,35,0,0,53,6,20,231,92,1,6,1,10,301,138,6,23,12,20,84,184,2,23,75,951,7,0
Long Trail Brewing Co.,12,7,6,7,0,85,162,0,19,0,2,228,36,0,15,27,11,100,1,20,1,6,1,2,0,10,0,1,8,1,6,253,68,0,0,0,38,21,16,0,5,0,55,44,196,1,3,7,9,7,2
Eel River Brewing Co.,28,13,5,31,0,10,21,2,12,0,0,41,5,7,18,129,6,9,9,33,1,8,4,17,0,0,0,0,15,17,1,29,6,0,2,0,1,27,13,9,12,1,4,4,18,0,2,30,2,4,5
Heiner Brau,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,3,3,0,0,1,0,1,2,2,0,0,0,0,6,29,1,3,0,0,1,0,1,6,0,1,2,1,0,0,2,0,0,0,0,0,9
Odell Brewing Company,26,17,0,22,14,5,19,13,27,0,30,41,7,9,295,96,7,16,32,26,29,14,6,13,3,9,0,0,39,8,5,55,40,1,13,3,6,98,13,10,80,35,1,18,39,8,74,210,15,7,0
(512) Brewing Company,6,2,0,3,0,2,2,0,5,0,0,5,0,0,0,23,0,1,2,10,0,2,0,2,0,1,0,0,200,0,1,8,5,2,0,1,0,10,0,2,1,1,2,2,10,0,0,2,0,0,0
Indian Wells Brewing Company,2,1,0,1,0,5,2,3,0,0,0,0,0,7,5,75,3,0,2,7,1,2,1,0,0,0,0,0,25,16,0,5,0,0,2,0,0,5,0,1,8,0,0,0,1,0,3,1,2,1,1
