Brewery,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
Yazoo Brewing Company,7,6,2,10,0,11,11,7,11,0,2,16,2,1,4,14,25,12,5,20,0,9,25,5,0,3,0,0,22,9,104,22,13,0,21,2,1,36,21,1,5,0,1,6,15,3,13,12,4,0,11
Finch's Beer Co.,2,10,0,1,0,0,5,0,6,0,0,8,2,1,0,1,10,6,0,16,0,1,9,0,0,0,0,0,1,0,2,27,4,0,0,1,0,77,10,2,0,0,0,1,10,0,2,4,9,0,0
Yuengling Brewery ,7,6,12,34,1,2,41,0,30,0,1,51,5,0,13,17,23,7,2,87,0,14,4,8,0,1,0,0,9,4,19,201,40,0,12,1,3,18,8,4,2,0,4,39,21,1,5,15,17,6,3
Mac and Jack's Brewery,37,0,0,0,0,1,2,0,1,0,0,4,0,0,3,6,1,1,1,2,0,1,1,9,0,0,0,0,4,0,0,7,2,0,0,0,0,3,0,0,0,3,0,1,1,0,0,3,0,1,0
Greenbush Brewing Company,2,4,0,3,0,1,0,0,0,0,0,2,0,0,1,3,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,2,2,0,0,0,0,27,7,0,0,0,0,0,0,0,0,1,58,0,0
Sixpoint,19,28,8,21,2,14,81,2,20,2,0,157,15,2,10,25,9,52,6,58,0,3,34,4,0,5,0,1,37,2,4,119,42,0,5,0,12,85,38,3,1,2,24,35,70,2,5,12,22,9,4
SanTan Brewing Co.,3,3,0,2,0,1,4,5,4,0,2,4,0,3,2,9,0,1,0,3,0,0,0,3,0,1,0,0,0,0,0,12,0,0,1,0,0,3,2,1,35,0,0,3,9,0,2,2,3,0,0
FiftyFifty Brewing Co.,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Backlash Beer Company,0,0,0,0,0,2,0,0,2,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,30,0,0,0,0,0,0
Empyrean Brewing Company,1,8,0,4,1,3,6,1,4,0,50,4,1,0,19,13,5,6,9,11,11,3,5,0,0,0,0,1,15,0,4,16,4,0,0,1,1,14,2,26,3,1,0,3,10,3,16,29,2,0,0
Cape Cod Beer,0,0,0,0,0,1,4,0,1,0,0,7,3,0,7,2,1,8,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,41,0,0,0,1,0,0
Central Waters Brewing Company,27,280,2,14,3,6,32,2,13,1,2,42,5,5,22,77,7,24,3,45,0,14,2,14,0,7,0,3,21,5,4,145,31,0,2,0,0,293,24,14,7,5,2,6,34,5,14,172,16,3,3
Buckeye Brewing Company,1,5,2,4,0,2,4,0,5,0,0,14,2,0,3,9,2,2,0,75,0,5,6,1,0,0,0,1,8,1,1,32,8,1,0,0,1,13,5,2,1,0,2,3,10,2,1,1,5,0,0
Black Diamond Brewing Co.,11,1,0,5,0,7,3,0,3,0,0,5,1,1,4,64,1,0,0,11,0,0,1,8,0,3,0,0,0,0,0,5,3,0,1,0,3,2,1,1,2,0,1,8,4,1,0,3,1,0,0
Cold Spring Brewing Co.,4,6,0,2,0,2,3,0,2,1,0,6,1,1,2,25,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,9,1,4,0,0,0,1,9,0,1,19,11,0,0
Iron Hill Brewery &amp; Restaurant,1,3,1,6,0,6,45,0,7,0,0,18,0,0,11,17,5,9,0,7,0,4,0,2,0,16,0,3,7,0,1,194,10,0,0,0,0,14,1,1,10,6,5,6,13,0,0,3,3,0,0
Milwaukee Ale House,2,22,0,1,0,0,2,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,2,1,0,0,0,2,1,1,1,1,0,0
Boundary Bay Brewery &amp; Bistro,53,1,0,1,0,1,2,0,5,0,0,1,1,1,1,4,2,2,0,3,0,1,0,12,0,0,0,0,4,1,0,3,3,0,0,0,0,5,0,0,2,0,1,0,5,0,2,0,2,0,0
Iron Horse Brewery,31,0,0,0,1,0,1,0,1,0,0,3,0,1,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,1,0,0,1,1,0,0,3,0,1,0
Dixie Brewing Co.,4,11,2,9,0,2,9,1,7,0,0,16,1,0,15,15,5,2,5,14,1,5,2,4,0,2,0,0,10,9,1,19,4,0,3,0,2,10,5,3,6,0,2,2,8,0,14,2,8,1,2
Austin Beerworks,5,0,0,0,0,0,2,3,3,0,0,4,0,0,1,9,0,1,2,2,0,1,0,0,0,1,0,0,67,2,0,3,2,0,0,0,0,3,0,0,0,0,0,0,10,0,0,1,1,0,0
Dark Horse Brewing Company,22,65,6,25,0,27,33,2,68,0,0,89,11,1,29,74,20,28,5,121,2,14,56,5,0,6,0,0,24,2,10,169,41,0,0,2,2,186,102,18,5,4,8,26,141,2,10,90,217,1,0
Green Flash Brewing Co.,26,19,5,55,1,19,49,3,38,0,9,99,9,7,39,269,43,38,17,42,4,22,23,18,0,3,0,0,48,22,11,113,63,0,15,7,14,56,15,27,29,4,19,26,63,1,18,27,26,7,10
Iron Springs Pub &amp; Brewery,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,25,2,1,0,1,0,0,0,2,0,0,0,0,2,0,0,5,0,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0
Almanac Beer Co.,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diamond Bear Brewing Company,4,7,1,4,0,1,9,4,4,0,2,12,6,0,4,7,12,3,7,6,1,2,3,6,0,2,0,0,9,6,4,15,6,0,4,15,0,16,4,2,3,0,1,2,6,1,3,7,0,1,11
Toppling Goliath Brewing Company,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,11,0,0,0,0,0,0,0,14,0,0,0
Pike Pub &amp; Brewery,128,6,1,49,1,12,23,1,35,0,0,24,3,7,10,58,23,7,4,14,8,8,3,44,0,3,0,0,71,15,1,40,37,3,4,1,8,25,2,6,6,8,1,9,38,4,3,11,6,1,1
10 Barrel Brewing Co.,18,0,0,1,0,1,0,1,3,0,0,2,0,0,0,9,1,1,0,0,0,1,0,34,0,2,0,0,1,0,1,0,0,0,0,0,4,3,0,2,0,7,0,1,1,0,0,1,1,1,1
Good People Brewing Company,5,0,0,4,0,6,1,0,10,0,0,2,1,0,2,4,11,4,0,3,0,2,6,3,0,1,0,0,2,3,8,11,4,0,87,0,1,16,6,0,1,0,0,7,9,0,2,7,1,3,4
Four Peaks Brewing Company,9,1,0,14,2,1,8,3,2,0,4,9,1,3,7,44,8,0,3,7,0,1,1,8,0,1,0,0,12,0,2,26,6,0,3,2,1,6,1,4,88,0,1,5,17,0,1,4,10,1,0
Harmon Restaurant &amp; Brewery,23,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,7,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
Tallgrass Brewing Company,6,30,2,5,0,1,15,1,11,0,10,13,4,1,23,10,6,4,24,25,32,4,3,10,0,1,0,0,11,4,5,60,24,0,12,3,2,44,10,15,6,1,0,12,24,0,33,120,1,5,11
Pisgah Brewing Co.,8,6,0,30,4,10,10,0,93,0,1,17,5,0,5,28,35,6,6,24,2,40,8,9,0,0,0,0,9,3,8,53,32,1,2,0,1,29,7,4,3,2,2,10,22,3,7,12,2,0,1
Blue Point Brewing Company,8,2,3,85,6,15,100,1,57,0,0,353,18,0,5,29,31,82,6,19,2,17,5,4,0,3,0,0,10,2,2,167,36,0,4,0,12,22,10,1,3,1,2,25,38,1,6,11,34,3,1
Firestone Walker Brewing Co.,50,9,4,13,0,6,53,6,10,0,0,71,8,13,52,258,12,15,7,22,1,4,11,28,0,6,0,2,28,1,4,94,20,0,6,0,9,79,10,2,28,6,6,20,51,1,13,19,7,8,1
Indeed Brewing Company,2,1,0,1,0,0,0,0,2,1,0,2,0,0,2,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,5,1,1,0,2,0,0,0,0,2,58,0,0,0
Durango Brewing,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8,2,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1
Bear Republic Brewing Co.,40,12,8,38,0,5,47,1,26,0,0,115,8,9,36,263,15,14,3,46,5,17,7,23,0,3,0,1,40,6,3,148,37,0,6,0,5,47,8,0,9,1,1,19,87,1,13,16,27,7,3
Appalachian Brewing Company,2,2,4,10,0,7,52,0,15,0,0,42,2,1,2,9,7,10,2,17,1,9,8,1,0,0,0,1,10,3,6,387,19,0,0,0,1,8,12,3,6,0,7,35,16,0,6,2,4,3,0
Gritty McDuff's Brewing Company,6,3,0,19,0,48,58,1,17,0,0,55,21,0,11,10,15,47,1,7,0,0,4,3,0,4,0,0,5,2,4,81,2,2,0,0,10,5,2,4,2,0,87,23,195,1,1,3,2,0,0
Ass Kisser Ales,2,1,0,6,0,4,7,0,4,0,0,0,1,0,5,20,5,6,0,4,3,0,5,2,0,1,0,0,16,1,1,8,6,0,1,0,2,17,1,2,2,0,0,3,18,0,1,4,3,0,0
Carolina Brewing Company,2,1,1,3,0,2,6,0,88,0,1,7,0,1,4,2,11,6,0,8,0,1,1,3,0,1,0,0,7,0,2,23,12,0,0,0,0,5,0,0,1,0,0,6,6,0,1,3,0,0,0
DC Brau Brewing Co.,4,4,0,4,0,1,8,1,5,0,0,18,1,0,4,17,4,1,1,6,0,5,0,4,0,2,0,0,1,0,0,26,56,0,2,1,1,16,2,0,0,5,2,38,14,0,0,3,2,1,0
Perennial Artisan Ales,10,5,0,9,0,0,5,0,1,0,0,13,0,0,2,14,3,4,1,1,2,0,2,0,0,0,0,0,10,0,6,16,2,0,2,0,0,73,7,2,0,0,0,0,10,0,52,4,0,0,0
Ghost River Brewing,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,2,0,3,0,0,0,0,0,0,1,0,3,1,0,0,2
Avery Brewing Company,75,32,10,58,1,12,90,4,37,2,5,108,5,8,224,191,60,23,17,94,15,30,36,15,0,3,0,3,134,7,8,204,92,5,17,4,7,130,36,11,10,4,2,28,112,2,36,72,75,26,3
Marble Brewery,2,3,1,1,0,0,5,24,2,0,0,7,0,2,39,16,4,4,3,3,0,1,1,1,0,0,0,0,16,4,13,16,5,0,1,0,1,20,0,1,16,1,3,4,6,0,1,6,0,0,0
Marin Brewing Company,13,2,0,13,0,8,10,1,12,0,1,8,2,8,16,390,14,10,5,11,1,4,5,22,0,0,0,2,10,4,1,45,4,1,5,0,1,18,4,15,38,2,0,9,20,2,4,11,8,0,1
Flying Bison Brewing Company,0,1,2,0,0,0,6,2,6,0,1,40,1,0,2,0,4,3,0,4,0,0,0,1,0,0,0,0,1,0,0,27,2,0,0,0,0,7,2,1,0,0,1,1,7,0,1,1,0,3,0
Drake's Brewing Co.,15,4,0,12,1,9,9,0,9,0,1,17,6,10,1,440,7,2,2,9,4,5,4,11,0,1,0,1,18,0,4,31,3,0,4,0,0,38,10,9,6,0,4,10,17,1,3,14,2,1,0
Lumberyard Brewing Company,1,0,0,1,0,0,1,2,0,0,0,1,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,15,0,0,1,1,0,0,1,0,0,0
Flying Fish Brewing Company,4,3,3,42,0,8,232,0,38,0,1,61,7,6,10,62,30,17,2,16,1,24,2,5,0,7,0,0,7,1,1,308,47,2,2,2,4,29,4,6,23,0,4,51,23,2,3,13,7,0,0
Funkwerks,2,0,0,1,0,1,0,1,2,0,2,1,1,0,55,16,2,1,2,7,0,2,1,1,0,0,0,0,2,2,1,8,3,0,2,0,2,6,0,0,3,0,0,6,1,0,4,0,0,0,3
Furthermore Beer,4,101,0,4,0,1,8,0,9,0,0,14,2,1,7,11,7,4,1,18,0,5,0,4,0,1,0,0,10,0,7,132,15,0,0,2,0,68,4,13,2,1,3,6,7,3,6,115,7,0,1
Sound Brewery,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
No Label Brewing Company,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
Mystic Brewery,1,1,0,0,0,12,1,0,0,0,0,6,5,0,1,3,0,1,0,0,0,0,0,0,0,1,0,0,3,0,1,0,1,0,0,0,0,4,0,0,0,0,4,2,79,0,0,0,0,0,0
Uinta Brewing Company,34,12,7,16,2,20,93,10,74,0,2,84,14,12,110,184,66,33,13,53,3,17,12,33,0,7,0,2,20,1,10,157,53,0,8,2,3,95,6,15,38,15,20,50,129,20,18,19,9,9,5
Lake Louie Brewery Company,11,190,0,7,2,3,9,0,5,0,2,13,4,0,9,17,6,5,3,22,1,7,18,9,0,0,0,0,6,0,8,41,16,2,7,5,0,74,2,18,4,0,1,2,17,2,7,46,2,0,0
Diamond Knot Brewery,48,3,0,16,0,1,10,0,11,0,0,5,0,3,3,17,10,0,0,5,0,8,2,18,0,2,0,0,2,2,0,12,8,0,1,0,0,5,0,0,2,2,0,4,4,2,0,3,0,0,0
Millstream Brewing Company,10,33,1,2,0,5,9,1,22,0,7,13,7,5,14,21,10,8,0,14,7,0,2,4,0,2,0,0,17,0,2,22,6,2,2,0,0,62,14,85,5,0,3,4,6,3,16,55,6,0,0
Flat 12 Bierwerks,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,10,40,0,0,0,0,0,1,0,1,0,1,0,1
Uncommon Brewers,5,0,0,1,0,0,13,1,1,0,0,8,1,0,2,51,1,2,0,7,0,1,0,9,0,0,0,0,1,0,0,23,7,0,2,0,0,16,2,1,1,0,1,1,26,0,2,3,1,0,0
Smuttynose Brewing Company,26,26,4,79,0,101,85,0,63,0,1,203,31,0,24,69,63,66,4,118,3,41,30,11,0,6,0,1,32,3,23,207,108,5,6,2,9,158,28,18,12,5,70,65,205,1,11,35,28,6,2
Wild Heaven Craft Beers,0,0,0,2,0,0,1,0,7,0,0,2,0,0,2,4,74,0,0,2,0,1,0,2,0,0,0,0,3,0,9,2,3,0,3,0,0,3,1,0,2,0,0,2,6,0,2,3,1,0,1
Revolution Brewing Company,5,13,0,3,0,1,3,1,5,0,0,10,3,3,3,14,2,7,0,33,1,0,10,0,0,5,0,0,8,0,1,10,8,0,2,0,0,353,11,4,0,0,1,3,6,0,5,7,7,0,0
Crown Valley Brewing &amp; Distilling Co.,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,2,0,1,0,4,0,0,0,0,0,0,0,3,1,0,3,1,0,0,2,0,20,2,0,0,0,0,0,0,0,17,1,1,0,1
Full Pint Brewing Company,0,1,18,3,0,0,4,0,3,0,0,4,0,0,5,3,1,6,0,29,0,2,0,1,0,2,0,0,2,1,0,194,7,0,1,0,0,6,0,0,0,0,0,8,1,0,0,1,0,4,0
Belfast Bay Brewing Co.,1,0,0,19,0,5,24,0,4,0,0,21,8,0,3,5,7,8,0,2,0,1,1,0,0,0,0,0,0,0,0,17,7,0,0,0,1,9,4,0,2,0,14,6,22,0,1,2,0,0,0
Lucky Bucket Brewing Co.,1,5,0,1,0,0,4,0,3,0,21,4,0,0,8,9,2,0,3,1,5,0,0,0,1,0,0,0,1,1,9,4,2,0,3,0,0,16,1,22,1,0,0,6,2,1,7,49,1,1,0
Founders Brewing Company,18,52,10,37,0,23,72,3,37,0,7,166,28,4,27,60,41,74,8,76,3,42,45,8,0,4,0,0,14,5,12,160,49,0,26,4,13,144,48,19,6,3,31,23,96,1,18,62,164,2,6
Jailhouse Brewing Company,1,4,0,2,0,0,0,0,3,0,0,4,0,0,3,3,44,1,1,0,0,1,0,0,0,0,0,0,3,1,0,4,2,0,0,0,1,7,0,0,0,0,3,1,2,0,0,3,0,0,0
Capital Brewery,17,358,1,37,0,8,23,0,12,0,5,13,16,7,18,30,14,10,16,52,3,6,15,8,0,0,0,0,11,2,6,63,21,0,1,1,1,287,22,56,5,8,1,14,18,2,36,180,22,1,0
Schmohz Brewing Company,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,8,0,0
Ithaca Beer Company,15,9,5,23,3,19,85,1,26,0,0,317,18,2,25,76,18,42,0,72,1,11,10,4,0,12,0,1,19,4,9,236,35,2,2,0,11,48,30,6,4,2,7,23,101,2,10,27,15,7,2
Anderson Valley Brewing Company,39,12,6,37,1,6,42,2,25,0,1,60,6,13,25,191,34,13,23,55,5,18,19,16,0,1,0,2,17,3,4,88,46,1,7,0,1,44,9,3,14,9,4,22,52,3,15,14,33,7,1
Sly Fox Brewing Company,12,5,5,21,2,15,212,3,46,0,0,241,13,0,32,53,8,45,13,65,2,31,16,16,0,10,0,2,29,14,4,755,23,4,2,1,7,30,5,7,12,2,14,17,70,8,6,34,7,8,1
Big Bay Brewing Co.,1,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,9,1,1,0,0,0,0,1,0,1,11,0,0,0
Rubicon Brewing Company,1,0,0,0,0,2,1,0,3,0,0,1,0,2,2,66,2,1,0,0,0,0,0,2,0,1,0,2,2,0,0,12,4,0,0,0,0,1,2,4,4,0,1,0,1,0,1,4,0,0,0
Lost Coast Brewery and Cafe,27,13,8,49,0,5,15,2,26,0,2,34,1,10,12,184,6,4,10,39,7,7,0,19,0,2,0,3,12,0,5,55,12,1,7,0,1,59,16,7,19,0,2,6,15,1,5,12,8,2,2
Brooklyn Brewery,16,13,3,78,0,25,147,3,49,0,1,332,18,1,30,50,40,69,2,64,1,39,51,9,1,7,0,0,101,28,32,228,71,0,7,2,8,80,56,6,8,4,32,68,110,1,13,94,39,15,11
Odin Brewing Company,12,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
Lightning Brewery,3,1,0,0,1,2,0,0,4,0,0,5,0,1,4,50,6,0,1,2,0,4,0,2,0,1,0,0,1,0,0,10,4,0,1,0,1,4,1,6,2,0,1,0,1,1,0,1,2,0,0
Saugatuck Brewing Company,0,0,0,2,0,0,0,0,3,0,0,2,0,0,1,1,0,2,0,6,1,0,0,2,0,0,0,0,1,0,0,2,1,0,0,0,0,26,3,0,0,0,1,2,1,0,4,1,58,0,0
North Coast Brewing Co.,36,28,10,43,1,18,39,7,34,0,11,49,10,8,38,222,20,10,13,61,5,16,28,13,2,1,0,0,69,22,17,108,36,1,13,6,2,82,24,11,15,4,12,29,44,7,22,45,27,12,7
Night Shift Brewing,1,0,0,0,0,4,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,4,0,26,0,0,4,0,0,0
Devils Backbone Brewing Company,1,1,0,0,0,0,4,0,7,0,0,1,0,0,1,0,1,3,0,0,2,1,1,0,0,0,0,1,2,0,2,9,55,0,0,0,0,4,0,0,0,0,0,15,0,0,0,0,0,2,0
Grand Teton Brewing Co.,20,20,2,9,8,3,17,3,22,2,9,22,6,16,64,152,9,9,10,17,13,40,3,10,1,2,0,1,22,1,4,13,8,0,6,0,4,87,5,27,13,28,3,9,50,7,48,77,7,6,1
Ale Asylum,18,225,0,5,0,0,10,0,6,0,0,10,1,5,10,25,8,9,3,24,0,5,3,4,0,2,0,0,8,1,0,46,17,0,1,1,1,99,10,21,0,0,2,5,17,5,6,77,5,1,0
Butternuts Beer &amp; Ale,0,1,0,2,0,13,31,0,11,0,0,51,12,0,3,12,5,15,3,12,0,6,1,1,0,1,0,0,1,2,12,52,12,0,8,1,6,10,7,0,0,0,20,32,34,0,1,1,0,0,0
Blackstone Restaurant &amp; Brewery,0,0,0,2,0,0,4,3,8,0,1,5,1,0,0,2,4,1,2,6,0,0,9,1,0,0,0,0,2,0,26,6,0,0,5,0,0,11,2,0,0,0,0,1,1,0,5,4,3,0,0
Wooden Shoe Brewing Company,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
Rising Tide Brewing Company,1,1,0,0,0,16,2,0,1,0,0,5,2,0,1,4,3,1,0,2,0,5,1,1,0,0,0,0,0,1,0,4,3,1,0,0,4,7,1,0,0,0,62,7,52,0,1,1,0,0,0
Southern Tier Brewing Company,61,54,12,108,0,32,115,0,61,0,0,243,19,9,32,92,54,37,13,104,5,32,53,10,0,5,0,0,40,4,25,263,59,2,8,1,7,89,41,8,12,5,18,71,108,1,30,66,83,13,6
Evolution Craft Brewing Company,17,2,2,4,1,3,18,1,10,0,0,21,0,0,8,15,9,15,0,8,0,5,0,5,0,42,0,1,3,1,0,99,37,0,5,0,1,7,10,0,0,0,1,92,16,0,0,4,0,0,0
Oskar Blues Brewing Company,11,14,4,15,1,9,23,0,17,0,0,45,6,2,24,62,18,10,3,47,2,10,12,5,0,3,0,0,16,4,4,41,19,1,10,3,12,64,12,6,4,0,1,25,24,0,4,15,31,4,5
Saint Somewhere Brewing Company,6,3,1,43,0,1,9,0,3,0,0,17,5,2,3,21,6,4,2,9,1,5,11,3,0,0,0,0,8,4,4,40,7,0,1,0,6,9,7,2,2,2,1,5,6,0,5,13,5,0,0
Leelanau Brewing Company,1,6,0,0,0,1,3,0,1,0,0,4,0,0,1,4,1,3,0,6,0,0,1,0,0,0,0,0,1,0,0,6,3,0,0,0,2,21,1,4,2,1,1,0,3,0,1,2,21,0,0
White Birch Brewing,5,3,0,9,0,60,13,0,1,0,0,31,10,2,2,39,10,16,0,4,0,12,1,3,0,2,0,0,3,0,0,55,13,0,0,0,16,32,3,0,3,4,24,3,93,3,1,6,1,0,0
Rush River Brewing Company,6,58,0,1,0,1,2,0,3,0,0,2,0,1,3,10,5,7,1,6,0,1,3,2,0,2,0,0,3,0,2,20,1,0,1,1,0,20,1,6,3,1,1,1,8,1,6,135,0,1,0
Old Dominion Brewing Company,11,8,6,13,1,5,44,3,19,0,0,21,2,0,11,27,23,19,2,32,1,6,2,2,0,9,0,0,11,5,3,134,144,0,5,0,1,16,6,2,2,1,2,72,20,0,1,5,19,1,2
Lake Superior Brewing Company,1,16,0,1,1,0,1,0,2,0,3,3,4,0,2,14,2,7,1,3,0,4,1,2,0,0,0,0,3,0,1,17,3,0,0,0,0,5,0,3,5,0,0,1,6,0,6,115,4,0,0
Oakshire Brewing,47,7,0,7,0,1,2,0,7,0,1,5,0,2,2,19,7,2,0,0,0,3,0,86,0,1,0,0,6,0,0,11,4,1,0,0,5,18,0,3,0,4,0,6,4,0,2,2,3,0,0
August Schell Brewing Company,8,61,5,9,2,2,7,0,7,1,17,9,9,4,29,23,7,14,3,27,2,16,4,5,4,1,0,0,24,1,6,53,12,0,1,0,1,95,11,68,2,6,0,4,8,1,34,571,49,1,3
Boulevard Brewing Co.,101,26,5,21,4,14,46,0,62,1,41,61,8,6,154,140,74,27,76,43,84,9,27,40,0,10,0,2,157,15,21,71,56,1,28,15,1,294,92,56,3,10,10,63,145,5,222,120,16,11,10
Portsmouth Brewery,6,5,0,13,0,119,23,0,14,0,0,37,16,1,10,26,20,34,0,17,1,10,1,5,0,5,0,1,8,0,6,85,16,3,1,0,4,40,8,1,3,5,89,7,162,3,8,10,2,0,2
Fort Collins Brewing,6,19,0,52,4,3,65,0,38,0,2,42,8,2,151,73,50,12,6,53,9,17,24,4,0,0,0,1,21,18,22,87,16,0,9,2,4,79,15,17,7,1,2,9,18,3,13,26,36,1,2
Goose Island Beer Co.,50,74,6,50,2,32,128,1,38,0,13,218,30,12,50,129,26,57,9,103,9,14,56,14,2,17,0,0,30,9,9,236,82,2,7,15,10,433,87,33,11,3,32,74,116,1,61,105,71,12,5
Black Market Brewing Co.,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Half Acre Beer Company,16,22,1,9,0,13,22,0,10,0,0,32,5,2,11,55,8,10,2,45,2,3,9,10,0,9,0,0,14,2,4,79,17,0,6,1,5,490,34,11,4,0,3,15,30,1,12,29,14,3,0
"St. George Brewing Company, The",7,3,2,6,1,4,9,0,33,0,0,16,2,0,10,14,5,11,6,28,1,7,9,8,0,3,0,0,4,0,4,42,138,1,2,0,2,15,5,3,3,0,0,18,19,0,2,5,0,0,1
Stone Brewing Co.,71,23,10,86,0,23,120,7,59,0,9,155,31,22,71,308,63,30,17,95,3,27,38,35,0,12,0,0,102,23,20,188,71,2,16,9,13,135,33,26,42,8,20,57,131,4,29,82,71,17,9
Brash Brewing Company,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,4,0,0,0,0,1,0,8,0,0,6,0,0,1
Starr Hill Brewery,4,8,7,58,1,5,15,0,53,0,0,12,2,0,8,12,11,7,1,16,1,15,9,6,0,3,0,1,14,3,22,78,186,0,7,0,2,19,4,3,2,1,1,61,13,0,8,7,2,6,1
Nectar Ales,21,0,0,24,0,9,28,1,5,0,0,21,5,2,19,58,1,6,5,6,2,0,1,7,0,5,0,0,5,0,5,24,10,0,2,0,4,32,2,0,8,3,3,8,30,1,15,0,0,2,1
Portland Brewing Company,38,5,1,3,0,2,4,1,7,0,0,7,0,2,5,42,4,1,1,8,2,3,3,46,0,0,0,1,10,0,1,6,8,1,0,0,2,6,3,7,7,9,3,0,10,9,10,7,11,2,0
O'so Brewing Company,5,133,0,2,0,2,6,0,2,0,0,6,0,1,5,7,1,4,0,11,1,3,0,1,1,2,0,1,7,1,0,6,2,4,0,0,0,76,4,6,0,1,0,1,3,0,2,46,1,0,0
Moonlight Brewing Company,2,3,0,4,0,2,1,0,7,0,1,8,0,4,6,153,6,0,0,11,0,1,1,12,0,0,0,1,11,0,2,13,5,0,0,1,0,20,1,3,2,1,2,9,10,0,3,2,0,1,0
Port Townsend Brewing Company,12,0,0,1,0,1,0,0,3,0,0,1,0,1,0,3,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0
"Bard's Tale Beer Company, LLC",4,3,0,2,0,5,3,0,3,1,1,5,1,0,6,5,3,0,1,5,0,0,3,1,0,0,0,0,8,0,1,6,3,0,2,1,1,8,4,2,4,1,0,4,6,2,4,4,2,0,0
