"Y=available, N=not available, L=limited, D=draft only",AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC,Total states
Ass Kisser,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4
Atlantic Brewing,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,14
Atwater,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,Y,Y,N,Y,N,N,Y,N,Y,Y,N,Y,N,N,Y,Y,N,N,Y,N,Y,21
Auburn Alehouse,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1
August Schell,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,8
Austin Beerworks,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,1
Avery,Y,Y,N,L,L,Y,N,N,L,Y,N,Y,L,N,N,Y,L,N,N,Y,Y,Y,Y,N,Y,N,N,L,N,Y,N,L,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,N,Y,Y,N,L,L,Y,33
Aviator,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1
Avondale,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1
Aztec,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1
