"Rating","Style","Name","Num Reviews","Locations","Link","Brewery","fruity (scaled)","heavy (scaled)","sweet (scaled)","dark (scaled)","light (scaled)","heady (scaled)","bitter (scaled)","sour (binary)","spiced (binary)","smokey (binary)","roasted (binary)","refreshing (binary)","Total Count"
"80","Weizenbock","Peak Organic Weiss Principal Imperial Hefe","44","{'Georgia': 1, 'Wisconsin': 1, 'Colorado': 1, 'Florida': 3, 'Connecticut': 5, 'New York': 6, 'New Hampshire': 8, 'Massachusetts': 12, 'South Carolina': 1, 'Ohio': 1, 'Maine': 2, 'Texas': 1, 'Ontario (Canada)': 2}","http://beeradvocate.com/beer/profile/13884/68937/?sort=topr","Peak Organic Brewing Company","111","27","73","12","90","98","172","13","68","1","10","15","690"
"85","Weizenbock","Weizenbock Grande Cuvée","38","{'Australia': 1, 'Newfoundland (Canada)': 1, 'Idaho': 1, 'Pennsylvania': 1, 'Quebec (Canada)': 3, 'Alberta (Canada)': 3, 'North Carolina': 1, 'New Brunswick (Canada)': 1, 'California': 1, 'Massachusetts': 2, 'Colorado': 1, 'British Columbia (Canada)': 1, 'Texas': 1, 'Ontario (Canada)': 20}","http://beeradvocate.com/beer/profile/11056/44939/?sort=topr","Les Trois Mousquetaires","69","38","200","105","43","87","23","18","26","5","24","10","648"
"88","Weizenbock","Hopf Weisser Bock","47","{'Pennsylvania': 1, 'Arizona': 2, 'Wisconsin': 3, 'New Jersey': 1, 'New Hampshire': 1, 'Oregon': 1, 'Illinois': 3, 'Slovenia': 1, 'New York': 4, 'California': 23, 'West Virginia': 1, 'Ohio': 2, 'United Kingdom (England)': 1, 'Nevada': 1, 'Louisiana': 1, 'Ontario (Canada)': 1}","http://beeradvocate.com/beer/profile/1357/3673/?sort=topr","Weissbierbrauerei Hopf","112","35","135","46","87","101","19","8","52","4","7","35","641"
"93","Weizenbock","Local Option Bourbon Barrel-Aged La Petite Mort","11","{'Tennessee': 1, 'Georgia': 1, 'Wisconsin': 2, 'Illinois': 7}","http://beeradvocate.com/beer/profile/652/81602/?sort=topr","Central Waters Brewing Company","2","17","69","21","14","20","6","1","2","7","9","1","169"
"88","Weizenbock","Weizenbock","41","{'Georgia': 1, 'Wisconsin': 1, 'Colorado': 3, 'Pennsylvania': 17, 'Florida': 5, 'Virginia': 1, 'North Carolina': 1, 'New Jersey': 1, 'New York': 6, 'Massachusetts': 1, 'Ohio': 3, 'Ontario (Canada)': 1}","http://beeradvocate.com/beer/profile/125/36251/?sort=topr","Pennsylvania Brewing Company","67","30","123","89","38","73","24","2","60","8","25","12","551"
"87","Weizenbock","Weizen Doppelbock","38","{'Arizona': 1, 'Wisconsin': 9, 'Colorado': 1, 'New Jersey': 1, 'Michigan': 1, 'Washington': 1, 'Virginia': 1, 'Oregon': 1, 'Minnesota': 10, 'Pennsylvania': 2, 'Montana': 1, 'California': 3, 'Massachusetts': 1, 'Illinois': 4, 'Ontario (Canada)': 1}","http://beeradvocate.com/beer/profile/368/990/?sort=topr","Capital Brewery","122","42","129","22","55","78","21","18","55","0","4","15","561"
"86","Weizenbock","Volks Weizenbock","33","{'Pennsylvania': 23, 'North Carolina': 2, 'Illinois': 1, 'New Jersey': 2, 'Connecticut': 1, 'New Hampshire': 1, 'Massachusetts': 2, 'Maryland': 1}","http://beeradvocate.com/beer/profile/18968/7402/?sort=topr","Appalachian Brewing Company","61","27","84","45","26","58","17","4","55","0","6","24","407"
"85","Weizenbock","Teufel Bock","28","{'Vermont': 1, 'Wisconsin': 1, 'Pennsylvania': 4, 'Michigan': 11, 'North Carolina': 1, 'Illinois': 1, 'New York': 2, 'New Hampshire': 1, 'Massachusetts': 1, 'Ohio': 2, 'Indiana': 1, 'Ontario (Canada)': 2}","http://beeradvocate.com/beer/profile/15280/48033/?sort=topr","Atwater Block Brewery","35","29","110","50","29","62","27","8","8","6","16","14","394"
"90","Weizenbock","Kuhnhenn Weiss Teufel (White Devil)","23","{'Georgia': 1, 'Colorado': 1, 'Pennsylvania': 2, 'Saskatchewan (Canada)': 1, 'Michigan': 6, 'Minnesota': 1, 'Illinois': 1, 'New York': 4, 'California': 3, 'Missouri': 1, 'Ontario (Canada)': 2}","http://beeradvocate.com/beer/profile/2097/55469/?sort=topr","Kuhnhenn Brewing Company","94","14","53","7","45","38","19","3","48","0","4","21","346"
"90","Weizenbock","Buffalo Bock","16","{'Wisconsin': 1, 'Virginia': 1, 'Minnesota': 8, 'Illinois': 2, 'California': 2, 'Saskatchewan (Canada)': 1, 'Texas': 1}","http://beeradvocate.com/beer/profile/1177/78705/?sort=topr","Minneapolis Town Hall Brewery","34","9","124","22","14","35","3","5","9","24","3","4","286"
"82","Weizenbock","Heineken Tarwebok","17","{'Virginia': 1, 'Netherlands': 2, 'Wisconsin': 1, 'Colorado': 1, 'Pennsylvania': 1, 'Florida': 1, 'Michigan': 1, 'Washington': 1, 'Minnesota': 1, 'Illinois': 1, 'Connecticut': 1, 'Australia': 2, 'Missouri': 1, 'Texas': 1}","http://beeradvocate.com/beer/profile/81/14497/?sort=topr","Heineken Nederland B.V.","14","9","100","34","18","32","12","1","9","1","26","8","264"
"80","Weizenbock","St. Blasius Weizenbock","34","{'Georgia': 1, 'Mexico': 1, 'Pennsylvania': 4, 'Delaware': 1, 'Washington': 1, 'Virginia': 1, 'Oregon': 3, 'Illinois': 5, 'Connecticut': 1, 'Arizona': 1, 'California': 8, 'Massachusetts': 2, 'Ohio': 2, 'Maryland': 1, 'Texas': 1, 'British Columbia (Canada)': 1}","http://beeradvocate.com/beer/profile/1623/27464/?sort=topr","Aktien-Brauerei Kaufbeuren AG","92","18","129","44","56","73","10","12","25","0","9","16","484"
"82","Weizenbock","Weizenbock","17","{'Vermont': 1, 'Georgia': 1, 'Pennsylvania': 4, 'North Carolina': 6, 'Massachusetts': 1, 'West Virginia': 1, 'South Carolina': 1, 'Ohio': 1, 'Ontario (Canada)': 1}","http://beeradvocate.com/beer/profile/7753/35630/?sort=topr","Olde Hickory Brewery","35","4","43","8","32","26","19","4","25","5","2","14","217"
"84","Weizenbock","Bayern Face Plant Doppel Weizen","24","{'Alberta (Canada)': 2, 'Washington': 6, 'Minnesota': 2, 'Oregon': 6, 'North Carolina': 1, 'Montana': 4, 'Massachusetts': 1, 'Idaho': 2}","http://beeradvocate.com/beer/profile/605/54452/?sort=topr","Bayern Brewing, Inc.","23","19","83","57","30","52","22","7","11","5","16","6","331"
"83","Weizenbock","Angry Goat","9","{'Oklahoma': 1, 'Texas': 8}","http://beeradvocate.com/beer/profile/9969/74071/?sort=topr","Rahr &amp; Sons Brewing Company","17","7","29","20","6","17","2","0","10","0","10","3","121"
"92","Bière de Garde","Oro De Calabaza","100","{'Alberta (Canada)': 4, 'Delaware': 1, 'Minnesota': 7, 'Illinois': 4, 'Netherlands': 1, 'Indiana': 3, 'Maryland': 1, 'Louisiana': 1, 'Texas': 1, 'Ontario (Canada)': 4, 'Wisconsin': 1, 'Iowa': 1, 'Michigan': 6, 'Virginia': 1, 'Oregon': 1, 'New York': 9, 'California': 6, 'Massachusetts': 2, 'South Carolina': 1, 'Oklahoma': 5, 'Vermont': 1, 'Georgia': 1, 'Pennsylvania': 12, 'Quebec (Canada)': 1, 'Florida': 2, 'Kentucky': 1, 'Arizona': 1, 'Ohio': 7, 'Colorado': 2, 'New Jersey': 2, 'Washington': 1, 'North Carolina': 4, 'Tennessee': 2, 'British Columbia (Canada)': 1}","http://beeradvocate.com/beer/profile/9897/18975/?sort=topr","Jolly Pumpkin Artisan Ales","288","33","131","15","427","258","141","485","121","65","56","89","2109"
"86","Bière de Garde","Domaine DuPage French Style Country Ale","100","{'Minnesota': 10, 'Illinois': 22, 'Indiana': 6, 'Texas': 2, 'Ontario (Canada)': 1, 'Iowa': 1, 'Wisconsin': 3, 'Michigan': 4, 'Virginia': 1, 'Oregon': 2, 'Connecticut': 1, 'District of Columbia': 1, 'California': 2, 'Massachusetts': 1, 'West Virginia': 1, 'South Carolina': 1, 'New Hampshire': 2, 'Georgia': 1, 'Pennsylvania': 7, 'Quebec (Canada)': 1, 'Florida': 2, 'Kentucky': 1, 'Missouri': 3, 'Ohio': 4, 'New York': 8, 'South Dakota': 1, 'Colorado': 3, 'New Jersey': 2, 'Washington': 3, 'Tennessee': 2, 'Montana': 1}","http://beeradvocate.com/beer/profile/689/2961/?sort=topr","Two Brothers Brewing Company","158","63","427","69","218","217","149","60","32","10","40","73","1516"
"83","Bière de Garde","Lips Of Faith","100","{'Oklahoma': 1, 'Missouri': 3, 'Minnesota': 4, 'Illinois': 2, 'Ohio': 2, 'Maryland': 3, 'Idaho': 2, 'Ontario (Canada)': 1, 'Iowa': 4, 'Michigan': 3, 'Kansas': 1, 'Utah': 1, 'Virginia': 5, 'Oregon': 1, 'Connecticut': 1, 'Montana': 1, 'California': 10, 'Massachusetts': 1, 'South Carolina': 1, 'Georgia': 2, 'Pennsylvania': 9, 'Finland': 1, 'Florida': 3, 'Kentucky': 1, 'Tennessee': 3, 'District of Columbia': 2, 'Wisconsin': 3, 'Rhode Island': 1, 'Colorado': 7, 'New Jersey': 1, 'Washington': 5, 'North Carolina': 2, 'New York': 2, 'Texas': 5, 'Nevada': 2, 'Delaware': 1}","http://beeradvocate.com/beer/profile/192/51300/?sort=topr","Biere De Mars","266","50","206","20","266","221","147","261","69","5","43","91","1645"
"78","Bière de Garde","Garde Dog","100","{'Brazil': 1, 'Delaware': 2, 'Minnesota': 5, 'Illinois': 2, 'Indiana': 2, 'Maryland': 8, 'Texas': 1, 'Ontario (Canada)': 1, 'Iowa': 2, 'Wisconsin': 3, 'Michigan': 1, 'Virginia': 5, 'Connecticut': 2, 'District of Columbia': 2, 'California': 8, 'Massachusetts': 3, 'West Virginia': 2, 'New Hampshire': 1, 'Netherlands': 1, 'Pennsylvania': 14, 'Florida': 1, 'Kentucky': 1, 'Rhode Island': 1, 'Ohio': 5, 'Alabama': 1, 'New York': 7, 'Colorado': 1, 'New Jersey': 4, 'Washington': 1, 'North Carolina': 6, 'Tennessee': 5}","http://beeradvocate.com/beer/profile/68/41689/?sort=topr","Flying Dog Brewery","212","35","229","19","354","243","156","63","84","3","39","98","1535"
"86","Bière de Garde","Avant Garde","100","{'Minnesota': 1, 'Illinois': 2, 'Indiana': 1, 'Maryland': 2, 'Texas': 2, 'Ontario (Canada)': 1, 'Australia': 4, 'Wisconsin': 1, 'Michigan': 2, 'Virginia': 1, 'Connecticut': 1, 'District of Columbia': 2, 'California': 24, 'Massachusetts': 7, 'West Virginia': 1, 'South Carolina': 1, 'New Hampshire': 1, 'Georgia': 4, 'Pennsylvania': 9, 'Quebec (Canada)': 1, 'Florida': 2, 'Arizona': 1, 'Missouri': 2, 'Ohio': 3, 'Colorado': 4, 'Idaho': 1, 'New Jersey': 7, 'Washington': 1, 'New York': 5, 'Nevada': 2, 'British Columbia (Canada)': 1}","http://beeradvocate.com/beer/profile/18149/30423/?sort=topr","The Lost Abbey","224","28","251","21","300","254","184","56","47","5","37","94","1501"
"86","Bière de Garde","Gift Of The Magi","100","{'Minnesota': 3, 'Illinois': 4, 'Indiana': 1, 'Texas': 3, 'Ontario (Canada)': 1, 'Australia': 1, 'Wisconsin': 2, 'Michigan': 1, 'Virginia': 1, 'Oregon': 1, 'Connecticut': 1, 'Montana': 1, 'New Hampshire': 4, 'Massachusetts': 11, 'California': 20, 'Georgia': 4, 'Pennsylvania': 14, 'Florida': 2, 'Tennessee': 1, 'Arizona': 4, 'Missouri': 1, 'Alabama': 1, 'Colorado': 4, 'New Jersey': 2, 'Washington': 1, 'New York': 8, 'District of Columbia': 3}","http://beeradvocate.com/beer/profile/18149/37198/?sort=topr","The Lost Abbey","181","62","318","94","149","202","124","171","89","17","44","44","1495"
"87","Bière de Garde","Scythe &amp; Sickle","100","{'Mississippi': 1, 'Delaware': 1, 'Minnesota': 2, 'Illinois': 8, 'Indiana': 2, 'Maryland': 2, 'Louisiana': 1, 'Texas': 3, 'Ontario (Canada)': 4, 'Arizona': 1, 'Michigan': 1, 'Virginia': 4, 'Connecticut': 2, 'Tennessee': 2, 'California': 5, 'Massachusetts': 8, 'New Hampshire': 1, 'Pennsylvania': 9, 'Florida': 8, 'Rhode Island': 1, 'Missouri': 2, 'Ohio': 6, 'Colorado': 7, 'New Jersey': 7, 'North Carolina': 3, 'New York': 8, 'Maine': 1}","http://beeradvocate.com/beer/profile/42/84831/?sort=topr","Brewery Ommegang","239","73","321","59","269","255","206","40","146","1","50","69","1728"
"94","Bière de Garde","Abbaye De Saint Bon-Chien","100","{'Brazil': 1, 'Oklahoma': 1, 'Minnesota': 1, 'Illinois': 6, 'Netherlands': 1, 'Indiana': 2, 'Maryland': 4, 'Texas': 1, 'Ontario (Canada)': 3, 'Australia': 2, 'Virginia': 5, 'Connecticut': 3, 'New York': 6, 'California': 9, 'Massachusetts': 7, 'Georgia': 2, 'Pennsylvania': 12, 'Finland': 1, 'Florida': 3, 'Kentucky': 2, 'Missouri': 1, 'Switzerland': 1, 'Ohio': 7, 'Alabama': 1, 'Colorado': 1, 'New Jersey': 4, 'Washington': 2, 'North Carolina': 3, 'Tennessee': 1, 'Montana': 1, 'District of Columbia': 4, 'Maine': 1}","http://beeradvocate.com/beer/profile/2958/30955/?sort=topr","BFM Brasserie Des Franches-Montagnes","239","62","189","133","130","213","53","460","26","123","42","36","1706"
"87","Bière de Garde","Bière De Mars","100","{'Oklahoma': 1, 'Delaware': 1, 'Minnesota': 1, 'Illinois': 7, 'Indiana': 1, 'Maryland': 3, 'Louisiana': 1, 'Texas': 7, 'Wisconsin': 2, 'Michigan': 5, 'Virginia': 2, 'Connecticut': 3, 'Montana': 1, 'New Hampshire': 3, 'Massachusetts': 4, 'South Carolina': 2, 'California': 6, 'Pennsylvania': 10, 'Florida': 2, 'Kentucky': 1, 'Nebraska': 1, 'District of Columbia': 2, 'Ohio': 8, 'Colorado': 2, 'New Jersey': 4, 'Washington': 2, 'North Carolina': 1, 'New York': 16}","http://beeradvocate.com/beer/profile/42/31748/?sort=topr","Brewery Ommegang","231","38","190","35","181","255","111","374","58","10","57","80","1620"
"89","Bière de Garde","3 Monts Flanders Golden Ale","100","{'Italy': 1, 'Alberta (Canada)': 4, 'Illinois': 7, 'Maryland': 3, 'Texas': 1, 'Ontario (Canada)': 1, 'Manitoba (Canada)': 2, 'Australia': 7, 'Iowa': 1, 'Michigan': 4, 'Virginia': 1, 'Oregon': 1, 'District of Columbia': 1, 'California': 13, 'Massachusetts': 4, 'Belgium': 1, 'Germany': 1, 'Netherlands': 2, 'Newfoundland (Canada)': 1, 'Pennsylvania': 1, 'Quebec (Canada)': 6, 'Florida': 1, 'Hawaii': 1, 'Nova Scotia (Canada)': 2, 'South Carolina': 2, 'Kentucky': 1, 'Missouri': 2, 'Ohio': 7, 'France': 1, 'Colorado': 2, 'Portugal': 1, 'South Africa': 1, 'New Jersey': 2, 'Washington': 2, 'North Carolina': 2, 'New York': 6, 'United Kingdom (England)': 1, 'British Columbia (Canada)': 3}","http://beeradvocate.com/beer/profile/260/1308/?sort=topr","Brasserie De Saint-Sylvestre","198","49","249","13","443","256","138","71","79","3","47","126","1672"
"91","Bière de Garde","Fuego Del Otono, Autumn Fire","100","{'Oklahoma': 5, 'Delaware': 1, 'Minnesota': 4, 'Illinois': 9, 'Maryland': 4, 'Louisiana': 1, 'Texas': 3, 'Ontario (Canada)': 4, 'Australia': 2, 'Wisconsin': 1, 'Michigan': 6, 'Oregon': 3, 'District of Columbia': 1, 'New Hampshire': 1, 'Massachusetts': 2, 'California': 15, 'Georgia': 1, 'Pennsylvania': 9, 'Florida': 1, 'Kentucky': 2, 'Missouri': 3, 'Ohio': 6, 'Colorado': 2, 'New Jersey': 2, 'Washington': 1, 'New York': 8, 'Nevada': 1, 'Maine': 1}","http://beeradvocate.com/beer/profile/9897/27545/?sort=topr","Jolly Pumpkin Artisan Ales","253","39","202","65","217","234","101","435","169","75","51","61","1902"
"90","Bière de Garde","Perdition","100","{'Iowa': 1, 'Alberta (Canada)': 1, 'Illinois': 5, 'Ireland': 1, 'Indiana': 1, 'Maryland': 1, 'Idaho': 1, 'Ontario (Canada)': 3, 'Australia': 2, 'Wisconsin': 1, 'Michigan': 1, 'Virginia': 1, 'Oregon': 1, 'Connecticut': 1, 'District of Columbia': 2, 'California': 33, 'Massachusetts': 5, 'South Carolina': 2, 'Georgia': 2, 'Pennsylvania': 7, 'Florida': 1, 'Arizona': 2, 'Missouri': 3, 'Ohio': 7, 'Alabama': 1, 'Colorado': 2, 'New Jersey': 3, 'Washington': 2, 'North Carolina': 2, 'New York': 2, 'Texas': 1, 'Nevada': 2}","http://beeradvocate.com/beer/profile/863/17442/?sort=topr","Russian River Brewing Company","196","47","301","96","225","198","152","60","86","6","42","68","1477"
"85","Bière de Garde","Gavroche","100","{'Alberta (Canada)': 1, 'Minnesota': 1, 'Illinois': 2, 'Georgia': 1, 'Louisiana': 1, 'Texas': 3, 'Ontario (Canada)': 5, 'Manitoba (Canada)': 1, 'Australia': 9, 'Iowa': 1, 'Michigan': 1, 'Oregon': 1, 'Connecticut': 1, 'Prince Edward Island (Canada)': 1, 'New Hampshire': 1, 'Massachusetts': 5, 'California': 15, 'Germany': 2, 'Oklahoma': 1, 'Vermont': 1, 'Netherlands': 2, 'Pennsylvania': 3, 'Quebec (Canada)': 5, 'Alaska': 1, 'Kentucky': 2, 'Rhode Island': 1, 'Nebraska': 1, 'Nova Scotia (Canada)': 2, 'Missouri': 4, 'Ohio': 2, 'Colorado': 2, 'New Jersey': 1, 'Washington': 3, 'North Carolina': 3, 'New York': 8, 'Japan': 1, 'United Kingdom (England)': 1, 'Nevada': 1, 'British Columbia (Canada)': 3}","http://beeradvocate.com/beer/profile/260/723/?sort=topr","Brasserie De Saint-Sylvestre","164","74","376","69","154","258","148","88","34","24","62","59","1510"
"86","Bière de Garde","Southampton Biere De Mars","100","{'Oklahoma': 4, 'Minnesota': 1, 'Illinois': 5, 'Indiana': 2, 'Maryland': 3, 'Idaho': 1, 'Michigan': 1, 'Kansas': 1, 'Virginia': 1, 'Connecticut': 5, 'California': 2, 'Massachusetts': 12, 'South Carolina': 1, 'New Hampshire': 1, 'Germany': 1, 'Georgia': 3, 'Pennsylvania': 23, 'Quebec (Canada)': 1, 'Florida': 2, 'Rhode Island': 2, 'Ohio': 1, 'Colorado': 2, 'New Jersey': 7, 'New York': 17}","http://beeradvocate.com/beer/profile/1628/16786/?sort=topr","Southampton Publick House","166","39","353","29","262","216","154","50","60","5","40","74","1448"
"92","Bière de Garde","Bière De Mars","100","{'Minnesota': 1, 'Illinois': 10, 'Ohio': 7, 'Indiana': 2, 'Maryland': 1, 'Louisiana': 2, 'Texas': 5, 'Ontario (Canada)': 7, 'Australia': 2, 'Wisconsin': 1, 'Michigan': 10, 'Virginia': 1, 'Oregon': 1, 'District of Columbia': 1, 'California': 12, 'Massachusetts': 4, 'South Carolina': 1, 'New Hampshire': 1, 'Vermont': 1, 'Georgia': 2, 'Pennsylvania': 8, 'Quebec (Canada)': 1, 'Florida': 5, 'Kentucky': 1, 'Arizona': 1, 'Missouri': 1, 'Iowa': 1, 'Alabama': 1, 'Colorado': 4, 'New York': 3, 'Maine': 1}","http://beeradvocate.com/beer/profile/9897/25142/?sort=topr","Jolly Pumpkin Artisan Ales","236","53","169","154","147","227","66","452","71","111","62","56","1804"
"85","Bière de Garde","Jenlain Ambrée","100","{'Oklahoma': 2, 'Missouri': 4, 'Minnesota': 1, 'Illinois': 5, 'New Brunswick (Canada)': 1, 'Indiana': 1, 'Maryland': 3, 'Louisiana': 3, 'Texas': 1, 'Australia': 1, 'Iowa': 1, 'United Kingdom (Scotland)': 1, 'Singapore': 1, 'Iceland': 1, 'Michigan': 4, 'Utah': 1, 'Virginia': 2, 'Oregon': 4, 'Connecticut': 1, 'New York': 12, 'New Hampshire': 2, 'Massachusetts': 3, 'Germany': 3, 'Alberta (Canada)': 1, 'Georgia': 3, 'California': 6, 'Pennsylvania': 6, 'Quebec (Canada)': 1, 'Finland': 1, 'Florida': 2, 'Rhode Island': 1, 'District of Columbia': 1, 'Switzerland': 1, 'Ohio': 2, 'Alabama': 1, 'France': 3, 'Colorado': 1, 'New Jersey': 5, 'North Carolina': 2, 'Tennessee': 1, 'United Kingdom (England)': 2, 'Maine': 1}","http://beeradvocate.com/beer/profile/309/27116/?sort=topr","Brasserie Duyck","137","49","410","47","203","199","119","39","46","8","33","54","1344"
"87","Bière de Garde","Biere D'Hougoumont","64","{'Oklahoma': 1, 'Minnesota': 2, 'Illinois': 2, 'Indiana': 1, 'Maryland': 1, 'Texas': 4, 'Ontario (Canada)': 1, 'Michigan': 3, 'Virginia': 3, 'Oregon': 1, 'Montana': 1, 'California': 7, 'Massachusetts': 4, 'South Carolina': 2, 'Georgia': 3, 'Pennsylvania': 5, 'Quebec (Canada)': 1, 'Kentucky': 2, 'Colorado': 1, 'New Jersey': 8, 'Washington': 1, 'North Carolina': 2, 'New York': 7, 'Maine': 1}","http://beeradvocate.com/beer/profile/42/82878/?sort=topr","Brewery Ommegang","141","42","332","29","165","159","56","39","29","92","25","36","1145"
"83","Bière de Garde","Lips Of Faith","53","{'Wisconsin': 3, 'Colorado': 6, 'Oregon': 1, 'Washington': 4, 'Michigan': 2, 'Florida': 2, 'Kentucky': 1, 'Illinois': 6, 'North Carolina': 1, 'Tennessee': 1, 'California': 7, 'Idaho': 2, 'Missouri': 3, 'Oklahoma': 1, 'Arkansas': 1, 'Alabama': 1, 'New York': 1, 'South Carolina': 1, 'Maryland': 1, 'Texas': 6, 'Ontario (Canada)': 1}","http://beeradvocate.com/beer/profile/192/87113/?sort=topr","Biere De Garde","154","23","121","7","224","111","98","48","32","4","21","25","868"
"82","Bière de Garde","Goudale","100","{'Oklahoma': 2, 'Minnesota': 4, 'France': 3, 'Indiana': 2, 'Texas': 1, 'Ontario (Canada)': 3, 'Iowa': 1, 'Wisconsin': 2, 'United Kingdom (Scotland)': 1, 'Iceland': 1, 'Michigan': 2, 'Virginia': 4, 'Oregon': 1, 'Connecticut': 1, 'California': 9, 'Massachusetts': 3, 'West Virginia': 1, 'Belgium': 1, 'New Hampshire': 4, 'Germany': 3, 'Vermont': 3, 'Yukon (Canada)': 1, 'Pennsylvania': 4, 'Poland': 1, 'Finland': 1, 'Florida': 9, 'Kentucky': 2, 'Rhode Island': 1, 'United Kingdom (Northern Ireland)': 1, 'Sweden': 4, 'Arizona': 1, 'Missouri': 1, 'Switzerland': 1, 'Ohio': 5, 'Alabama': 1, 'Illinois': 2, 'Colorado': 1, 'New Jersey': 1, 'North Carolina': 2, 'New York': 6, 'United Kingdom (England)': 2, 'Nevada': 1}","http://beeradvocate.com/beer/profile/813/7451/?sort=topr","Les Brasseurs de Gayant","217","47","277","20","367","219","144","60","46","2","32","88","1519"
"88","Bière de Garde","Schlafly Bière De Garde","100","{'Oklahoma': 2, 'Wyoming': 1, 'Minnesota': 2, 'Illinois': 16, 'New Mexico': 1, 'Indiana': 2, 'Maryland': 2, 'Texas': 4, 'Ontario (Canada)': 2, 'Iowa': 3, 'Kansas': 2, 'Utah': 1, 'Virginia': 4, 'Oregon': 1, 'New York': 6, 'California': 4, 'Massachusetts': 4, 'South Carolina': 2, 'Vermont': 1, 'Georgia': 2, 'Pennsylvania': 1, 'Florida': 1, 'Kentucky': 8, 'Nebraska': 1, 'Missouri': 16, 'Ohio': 4, 'Alabama': 1, 'New Jersey': 2, 'Washington': 1, 'Tennessee': 2, 'District of Columbia': 1}","http://beeradvocate.com/beer/profile/583/39397/?sort=topr","Saint Louis Brewery / Schlafly Tap Room","307","54","295","46","216","239","109","132","54","0","26","56","1534"
"87","Bière de Garde","Castelain Blond Biere De Garde","100","{'Minnesota': 7, 'Illinois': 4, 'Maryland': 2, 'Louisiana': 1, 'Texas': 2, 'Ontario (Canada)': 1, 'Wisconsin': 2, 'Michigan': 3, 'Virginia': 5, 'Oregon': 1, 'Connecticut': 1, 'Montana': 1, 'California': 13, 'Massachusetts': 8, 'Puerto Rico': 1, 'South Carolina': 2, 'New Hampshire': 1, 'Vermont': 1, 'Georgia': 2, 'Pennsylvania': 7, 'Poland': 1, 'Florida': 2, 'Kentucky': 1, 'Rhode Island': 1, 'Nebraska': 2, 'Missouri': 2, 'Ohio': 2, 'Alabama': 2, 'Colorado': 1, 'Mexico': 1, 'New Jersey': 1, 'Washington': 1, 'North Carolina': 7, 'New York': 6, 'District of Columbia': 2, 'Nevada': 1, 'Maine': 1}","http://beeradvocate.com/beer/profile/380/2360/?sort=topr","Brasserie Castelain","153","34","276","16","351","212","161","48","39","7","32","125","1454"
"96","Bière de Garde","Bière De Mars","92","{'Minnesota': 3, 'Illinois': 9, 'Indiana': 2, 'Maryland': 1, 'Texas': 1, 'Ontario (Canada)': 4, 'Iowa': 1, 'Wisconsin': 2, 'Michigan': 6, 'Oregon': 2, 'Connecticut': 2, 'New York': 2, 'New Hampshire': 3, 'Massachusetts': 6, 'South Carolina': 1, 'California': 11, 'Georgia': 2, 'Pennsylvania': 8, 'Quebec (Canada)': 1, 'Florida': 1, 'Kentucky': 2, 'Rhode Island': 1, 'Arizona': 1, 'Ohio': 8, 'Colorado': 4, 'New Jersey': 2, 'Washington': 1, 'North Carolina': 1, 'District of Columbia': 3, 'Nevada': 1}","http://beeradvocate.com/beer/profile/9897/31242/?sort=topr","Grand Reserve","256","38","196","125","153","198","44","546","39","189","47","45","1876"
"87","Bière de Garde","Southampton Biere De Garde","97","{'Minnesota': 1, 'Illinois': 3, 'Indiana': 1, 'Maryland': 1, 'Texas': 2, 'Ontario (Canada)': 1, 'Arizona': 1, 'Iowa': 2, 'Michigan': 2, 'Virginia': 4, 'Oregon': 1, 'Connecticut': 2, 'New York': 13, 'California': 6, 'Massachusetts': 5, 'South Carolina': 2, 'New Hampshire': 1, 'Wisconsin': 1, 'Georgia': 5, 'Pennsylvania': 13, 'Quebec (Canada)': 1, 'Florida': 2, 'Kentucky': 2, 'Rhode Island': 2, 'Nebraska': 1, 'Ohio': 5, 'Colorado': 2, 'New Jersey': 9, 'Washington': 2, 'North Carolina': 2, 'Tennessee': 1, 'Maine': 1}","http://beeradvocate.com/beer/profile/1628/34956/?sort=topr","Southampton Publick House","214","59","403","52","193","245","124","76","77","5","41","64","1553"
"86","Bière de Garde","Private Rye Bière De Garde","23","{'Wisconsin': 1, 'Illinois': 1, 'Connecticut': 1, 'Tennessee': 1, 'New Hampshire': 1, 'Massachusetts': 15, 'New York': 2, 'Rhode Island': 1}","http://beeradvocate.com/beer/profile/26520/79441/?sort=topr","Jack's Abby Brewing","49","17","78","15","87","67","56","44","34","1","11","17","476"
"81","Bière de Garde","Le Mort Vivant","35","{'Colorado': 1, 'New Jersey': 1, 'Delaware': 2, 'Washington': 1, 'New York': 2, 'California': 2, 'Massachusetts': 2, 'Indiana': 1, 'Ohio': 7, 'Alabama': 2, 'Louisiana': 2, 'Texas': 11}","http://beeradvocate.com/beer/profile/16759/76047/?sort=topr","Southern Star Brewing Company","85","18","146","23","61","67","45","19","2","0","7","20","493"
