Name,Brewery,BeerAdvocate Rating,Light,Dark,Fruit,Sweet,Carbonation,Bitter,Spice,Difference Score
Dark Lord Imperial Stout,Three Floyds Brewing Co. &amp; Brewpub,96.00,0.07,0.29,0.06,0.48,0.07,0.03,0.00,1.00
The Event Horizon,Olde Hickory Brewery,97.00,0.08,0.30,0.03,0.48,0.09,0.04,0.00,1.00
Melange No. 3,The Bruery,98.00,0.08,0.27,0.06,0.50,0.08,0.00,0.00,1.00
Founders Backwoods Bastard,Founders Brewing Company,96.00,0.09,0.26,0.01,0.47,0.12,0.04,0.01,1.00
Imperial Eclipse Stout - Elijah Craig (20 Year),FiftyFifty Brewing Co.,99.00,0.08,0.27,0.03,0.49,0.09,0.03,0.01,1.00
Kuhnhenn Bourbon Barrel Barley Wine,Kuhnhenn Brewing Company,97.00,0.08,0.24,0.03,0.51,0.11,0.03,0.00,1.00
Bourbon County Brand Coffee Stout,Goose Island Beer Co.,100.00,0.10,0.24,0.02,0.53,0.06,0.04,0.01,1.01
Kuhnhenn Bourbon Barrel Fourth Dementia,Kuhnhenn Brewing Company,100.00,0.06,0.30,0.06,0.48,0.09,0.01,0.00,1.01
Barrel Aged Sexual Chocolate,Foothills Brewing Company,97.00,0.09,0.27,0.02,0.44,0.15,0.03,0.00,1.01
Kaggen! Stormaktsporter,NÌ_rke Kulturbryggeri AB,100.00,0.08,0.35,0.04,0.43,0.09,0.02,0.00,1.01
Fruet,The Bruery,98.00,0.07,0.27,0.06,0.49,0.11,0.00,0.00,1.01
Bourbon County Brand Stout,Goose Island Beer Co.,100.00,0.08,0.33,0.03,0.42,0.12,0.02,0.00,1.02
Espresso Oak Aged Yeti Imperial Stout,Great Divide Brewing Company,95.00,0.05,0.36,0.00,0.42,0.07,0.10,0.00,1.02
Older Viscosity,Port Brewing Company / Pizza Port,96.00,0.07,0.31,0.04,0.45,0.10,0.02,0.01,1.02
Dark Horse Bourbon Barrel Aged Plead The 5th,Dark Horse Brewing Company,100.00,0.07,0.34,0.03,0.45,0.08,0.04,0.00,1.03
Fifteen,Central Waters Brewing Company,100.00,0.09,0.31,0.02,0.46,0.11,0.02,0.00,1.03
Birth Of Tragedy,Hill Farmstead Brewery,98.00,0.10,0.21,0.01,0.50,0.16,0.01,0.02,1.03
Hunahpu's Imperial Stout,Cigar City Brewing,100.00,0.06,0.35,0.01,0.35,0.07,0.07,0.09,1.03
Black Tuesday,The Bruery,100.00,0.05,0.31,0.05,0.48,0.09,0.01,0.00,1.04
Barrel-Aged Abraxas,Perennial Artisan Ales,100.00,0.09,0.25,0.00,0.36,0.08,0.03,0.19,1.05
Founders KBS (Kentucky Breakfast Stout),Founders Brewing Company,100.00,0.07,0.29,0.01,0.49,0.10,0.03,0.00,1.05
Chocolate Rain,The Bruery,99.00,0.08,0.29,0.03,0.52,0.07,0.02,0.00,1.06
Bourbon Abominable Winter Ale,Fremont Brewing Company,97.00,0.07,0.32,0.02,0.47,0.06,0.04,0.02,1.06
Berserker Imperial Stout,Midnight Sun Brewing Co.,96.00,0.05,0.32,0.02,0.47,0.10,0.04,0.00,1.07
Imperial Russian Stout - Bourbon Barrel Aged,Stone Brewing Co.,100.00,0.05,0.33,0.02,0.45,0.11,0.04,0.00,1.07
Bell's Black Note Stout,"Bell's Brewery, Inc.",100.00,0.06,0.36,0.03,0.45,0.07,0.03,0.00,1.08
Peg's G.O.O.D. Rare D.O.S.,Peg's Cantina &amp; Brewpub,100.00,0.06,0.31,0.02,0.51,0.07,0.03,0.00,1.09
Big Bad Baptist,Epic Brewing Co.,95.00,0.05,0.32,0.01,0.49,0.10,0.03,0.00,1.11
Bourbon Barrel Aged Dark Lord Imperial Stout,Three Floyds Brewing Co. &amp; Brewpub,100.00,0.06,0.28,0.04,0.55,0.07,0.01,0.00,1.11
Founders CBS Imperial Stout,Founders Brewing Company,100.00,0.06,0.26,0.01,0.58,0.07,0.03,0.00,1.14
Bourbon Barrel Aged Vanilla Bean Dark Lord,Three Floyds Brewing Co. &amp; Brewpub,100.00,0.04,0.23,0.03,0.61,0.07,0.01,0.00,1.15
